priority,id,title,category,words,review_reasons,review_status
1,drip:propofol-drip,Propofol drip,drip,257,Clinical reviewer triage: High-alert medication; Numerical treatment wording: Dosing | 5 blocks without attached citation IDs | Check absent sections: Patient teaching,Not adjudicated
1,drip:insulin-drip,Insulin drip,drip,261,Clinical reviewer triage: High-alert medication | 4 blocks without attached citation IDs | Check absent sections: Patient teaching,Not adjudicated
1,drip:heparin-drip,Heparin drip,drip,276,Clinical reviewer triage: High-alert medication | 5 blocks without attached citation IDs,Not adjudicated
1,drip:norepinephrine-drip,Norepinephrine drip,drip,283,"Clinical reviewer triage: High-alert medication | 6 blocks without attached citation IDs | Check absent sections: Contraindications, Patient teaching",Not adjudicated
1,drip:dobutamine-drip,Dobutamine drip,drip,288,Clinical reviewer triage: High-alert medication | Source locator review: openrn_pharm_drips: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs,Not adjudicated
1,drip:ketamine-drip,Ketamine (continuous infusion),drip,291,Clinical reviewer triage: High-alert medication | Source locator review: openrn_pharm_drips2: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drip:esmolol-drip,Esmolol (continuous infusion),drip,302,Clinical reviewer triage: High-alert medication; Numerical treatment wording: Dosing | Source locator review: openrn_pharm_drips2: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drip:fentanyl-drip,Fentanyl (continuous infusion),drip,317,Clinical reviewer triage: High-alert medication | Source locator review: openrn_pharm_drips2: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs,Not adjudicated
1,drip:nicardipine-drip,Nicardipine drip,drip,324,Clinical reviewer triage: High-alert medication | Source locator review: openrn_pharm_drips: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drip:cisatracurium-drip,Cisatracurium (continuous infusion),drip,347,Clinical reviewer triage: High-alert medication | Source locator review: openrn_pharm_drips2: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drip:nitroprusside-drip,Nitroprusside drip,drip,363,Clinical reviewer triage: High-alert medication | Source locator review: openrn_pharm_drips: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drip:milrinone-drip,Milrinone (continuous infusion),drip,367,Clinical reviewer triage: High-alert medication | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drip:dopamine-drip,Dopamine drip,drip,387,Clinical reviewer triage: High-alert medication | Source locator review: openrn_pharm_drips: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drip:bivalirudin-drip,Bivalirudin (continuous infusion),drip,388,Clinical reviewer triage: High-alert medication | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drip:isoproterenol-drip,Isoproterenol (continuous infusion),drip,397,Clinical reviewer triage: High-alert medication | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drip:dexmedetomidine-drip,Dexmedetomidine (continuous infusion),drip,400,Clinical reviewer triage: High-alert medication | 4 blocks without attached citation IDs,Not adjudicated
1,drip:midazolam-drip,Midazolam (continuous infusion),drip,406,Clinical reviewer triage: High-alert medication | 4 blocks without attached citation IDs,Not adjudicated
1,drip:nitroglycerin-drip,Nitroglycerin drip,drip,408,Clinical reviewer triage: High-alert medication; Numerical treatment wording: Dosing | Source locator review: openrn_pharm_drips: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs,Not adjudicated
1,drip:argatroban-drip,Argatroban (continuous infusion),drip,416,Clinical reviewer triage: High-alert medication | 5 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drip:lidocaine-drip,Lidocaine (continuous infusion),drip,416,Clinical reviewer triage: High-alert medication | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drip:magnesium-sulfate-drip,Magnesium sulfate (continuous infusion),drip,443,Clinical reviewer triage: High-alert medication | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drip:hypertonic-saline-drip,Hypertonic saline 3% (infusion),drip,482,Clinical reviewer triage: High-alert medication | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drip:amiodarone-drip,Amiodarone drip,drip,484,Clinical reviewer triage: High-alert medication | Source locator review: openrn_pharm_drips: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs,Not adjudicated
1,drug:tobramycin,Tobramycin,drug,202,Clinical reviewer triage: High-risk medication | Source locator review: openrn_pharm_round6: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:memantine,Memantine,drug,205,Clinical reviewer triage: Numerical treatment wording: Dosing | Source locator review: openrn_pharm_round11: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:hydromorphone,Hydromorphone,drug,212,Clinical reviewer triage: High-alert medication | 5 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:ranolazine,Ranolazine,drug,238,Clinical reviewer triage: Numerical treatment wording: Dosing | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:romiplostim,Romiplostim,drug,241,Clinical reviewer triage: Numerical treatment wording: Dosing | Source locator review: openrn_pharm_round18: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:glucagon-bb-toxicity,"Glucagon (high-dose, β-blocker / CCB toxicity)",drug,246,Clinical reviewer triage: High-risk medication | Source locator review: openrn_pharm_round16: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:calcitriol,Calcitriol,drug,248,Clinical reviewer triage: Numerical treatment wording: Dosing | Source locator review: openrn_pharm_round13: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:risperidone,Risperidone,drug,255,Clinical reviewer triage: Numerical treatment wording: Dosing | Source locator review: openrn_mh_round5: search URL (needs a specific supporting source); openrn_pharm_round5: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:buspirone,Buspirone,drug,260,Clinical reviewer triage: Numerical treatment wording: Dosing | Source locator review: openrn_mh_round5: search URL (needs a specific supporting source); openrn_pharm_round5: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:eplerenone,Eplerenone,drug,260,Clinical reviewer triage: Numerical treatment wording: Dosing | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:alprostadil,"Alprostadil (PGE1, IV)",drug,262,Clinical reviewer triage: High-risk medication | Source locator review: openrn_pharm_round9: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:surfactant,Surfactant (poractant alfa / beractant),drug,269,Clinical reviewer triage: High-risk medication | Source locator review: openrn_pharm_round9: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:enoxaparin,Enoxaparin,drug,276,Clinical reviewer triage: High-alert medication | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:mirtazapine,Mirtazapine,drug,276,Clinical reviewer triage: Numerical treatment wording: Dosing | Source locator review: openrn_pharm_hv: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:glucarpidase,Glucarpidase,drug,281,Clinical reviewer triage: High-risk medication | Source locator review: openrn_pharm_round15: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:cinacalcet,Cinacalcet,drug,283,Clinical reviewer triage: Numerical treatment wording: Dosing | Source locator review: openrn_pharm_round13: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:esmolol,Esmolol,drug,283,Clinical reviewer triage: High-alert medication; Numerical treatment wording: Dosing | Source locator review: openrn_pharm_round17: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:venlafaxine,Venlafaxine,drug,290,Clinical reviewer triage: Numerical treatment wording: Dosing | Source locator review: openrn_pharm_hv: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:gentamicin,Gentamicin,drug,291,Clinical reviewer triage: High-risk medication | Source locator review: openrn_pharm_round6: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:insulin-lispro,Insulin Lispro,drug,291,Clinical reviewer triage: High-alert medication | 5 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:physostigmine,Physostigmine,drug,293,Clinical reviewer triage: High-risk medication | Source locator review: openrn_pharm_round16: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:amphotericin-b,Amphotericin B (liposomal / deoxycholate),drug,294,Clinical reviewer triage: High-alert medication | Source locator review: openrn_pharm_round6: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:paclitaxel,Paclitaxel,drug,294,Clinical reviewer triage: High-alert medication | Source locator review: openrn_pharm_round12: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:dabigatran,Dabigatran,drug,295,Clinical reviewer triage: High-alert medication | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:sugammadex,Sugammadex,drug,299,Clinical reviewer triage: High-risk medication | Source locator review: openrn_pharm_round17: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:finerenone,Finerenone,drug,300,Clinical reviewer triage: Numerical treatment wording: Dosing | Source locator review: openrn_pharm_round13: search URL (needs a specific supporting source) | 3 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:carbamazepine,Carbamazepine,drug,301,Clinical reviewer triage: Numerical treatment wording: Dosing | Source locator review: openrn_mh_round5: search URL (needs a specific supporting source); openrn_pharm_round5: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:neostigmine,Neostigmine,drug,301,Clinical reviewer triage: High-risk medication | Source locator review: openrn_pharm_round17: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:pralidoxime,Pralidoxime (2-PAM),drug,301,Clinical reviewer triage: High-risk medication | Source locator review: openrn_pharm_round10: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:diltiazem-po,Diltiazem (oral),drug,302,Clinical reviewer triage: Numerical treatment wording: Dosing | Source locator review: openrn_pharm_round3b: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:methimazole,Methimazole,drug,302,Clinical reviewer triage: Numerical treatment wording: Dosing | Source locator review: openrn_pharm_round13: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:rivaroxaban,Rivaroxaban,drug,302,Clinical reviewer triage: High-alert medication | Source locator review: openrn_pharm_doac: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:pirfenidone,Pirfenidone,drug,303,Clinical reviewer triage: Numerical treatment wording: Dosing | Source locator review: openrn_pharm_round13: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:imatinib,Imatinib,drug,305,Clinical reviewer triage: Numerical treatment wording: Dosing | Source locator review: openrn_pharm_round12: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:lactulose,Lactulose,drug,306,Clinical reviewer triage: Numerical treatment wording: Dosing | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:brexpiprazole,Brexpiprazole,drug,307,Clinical reviewer triage: Numerical treatment wording: Dosing | Source locator review: openrn_pharm_round14: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:quetiapine,Quetiapine,drug,307,Clinical reviewer triage: Numerical treatment wording: Dosing | Source locator review: openrn_mental_health: search URL (needs a specific supporting source); openrn_pharm_psych: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:cisatracurium,Cisatracurium,drug,308,Clinical reviewer triage: High-alert medication | Source locator review: openrn_pharm_round17: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:dextrose-50,Dextrose 50%,drug,308,Clinical reviewer triage: Numerical treatment wording: Nursing considerations; Numerical treatment wording: Warnings | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:pregabalin,Pregabalin,drug,309,Clinical reviewer triage: Numerical treatment wording: Dosing | Source locator review: openrn_pharm_round3b: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:ropinirole,Ropinirole,drug,309,Clinical reviewer triage: Numerical treatment wording: Dosing | Source locator review: openrn_pharm_round18: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:glipizide,Glipizide,drug,310,Clinical reviewer triage: Numerical treatment wording: Dosing | Source locator review: openrn_pharm_round3b: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:antithymocyte-globulin,Antithymocyte globulin (ATG),drug,311,Clinical reviewer triage: High-risk medication | Source locator review: openrn_pharm_round7: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:cyclosporine,Cyclosporine,drug,311,Clinical reviewer triage: High-risk medication | Source locator review: openrn_pharm_round7: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:ibutilide,Ibutilide,drug,313,Clinical reviewer triage: High-alert medication | Source locator review: openrn_pharm_round11: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:baclofen,Baclofen,drug,314,Clinical reviewer triage: High-risk medication; Numerical treatment wording: Dosing | Source locator review: openrn_pharm_round15: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:isoniazid,Isoniazid (INH),drug,315,Clinical reviewer triage: Numerical treatment wording: Nursing considerations; Numerical treatment wording: Quick reference | Source locator review: openrn_pharm_round6: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:phentolamine,Phentolamine,drug,319,Clinical reviewer triage: High-risk medication | Source locator review: openrn_pharm_round17: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:sulfasalazine,Sulfasalazine,drug,319,Clinical reviewer triage: Numerical treatment wording: Dosing; Numerical treatment wording: Nursing considerations | Source locator review: openrn_pharm_round8: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:protamine-sulfate,Protamine Sulfate,drug,321,Clinical reviewer triage: Numerical treatment wording: Nursing considerations | Source locator review: openrn_pharm_reversal: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:fentanyl,Fentanyl,drug,322,Clinical reviewer triage: High-alert medication | 5 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:mirabegron,Mirabegron,drug,322,Clinical reviewer triage: Numerical treatment wording: Dosing | Source locator review: openrn_pharm_round19: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:sotalol,Sotalol,drug,322,Clinical reviewer triage: Numerical treatment wording: Dosing | Source locator review: openrn_pharm_round11: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:carvedilol,Carvedilol,drug,324,Clinical reviewer triage: Numerical treatment wording: Dosing | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:flumazenil,Flumazenil,drug,326,Clinical reviewer triage: Numerical treatment wording: Dosing | Source locator review: openrn_pharm_round10: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:tacrolimus,Tacrolimus,drug,327,Clinical reviewer triage: High-alert medication | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:cytarabine,Cytarabine (Ara-C),drug,328,Clinical reviewer triage: High-alert medication | Source locator review: openrn_pharm_round18: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:ketamine,Ketamine,drug,328,Clinical reviewer triage: High-alert medication | Source locator review: openrn_pharm_round17: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:nitroglycerin,Nitroglycerin,drug,328,Clinical reviewer triage: Numerical treatment wording: Dosing | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:pioglitazone,Pioglitazone,drug,331,Clinical reviewer triage: Numerical treatment wording: Dosing | Source locator review: openrn_pharm_round17: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:vitamin-k,Vitamin K (Phytonadione),drug,331,Clinical reviewer triage: Numerical treatment wording: Nursing considerations; Numerical treatment wording: Warnings | Source locator review: openrn_pharm_reversal: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:rocuronium,Rocuronium,drug,333,Clinical reviewer triage: High-alert medication | Source locator review: openrn_pharmacology_book_2: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:doxorubicin,Doxorubicin,drug,335,Clinical reviewer triage: High-alert medication | Source locator review: openrn_pharm_round12: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:sertraline,Sertraline,drug,335,Clinical reviewer triage: Numerical treatment wording: Dosing | Source locator review: openrn_mental_health: search URL (needs a specific supporting source); openrn_pharm_psych: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:clonazepam,Clonazepam,drug,336,Clinical reviewer triage: High-alert medication | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:eltrombopag,Eltrombopag,drug,337,Clinical reviewer triage: Numerical treatment wording: Dosing | Source locator review: openrn_pharm_round18: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:isosorbide-mononitrate,Isosorbide mononitrate,drug,338,Clinical reviewer triage: Numerical treatment wording: Dosing | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:trazodone,Trazodone,drug,338,Clinical reviewer triage: Numerical treatment wording: Dosing | Source locator review: openrn_pharm_round3b: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:clomiphene,Clomiphene citrate,drug,339,Clinical reviewer triage: Numerical treatment wording: Dosing | Source locator review: openrn_pharm_round19: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:insulin-glargine,Insulin Glargine,drug,339,Clinical reviewer triage: High-alert medication | 5 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:methylphenidate,Methylphenidate,drug,342,Clinical reviewer triage: Numerical treatment wording: Dosing | Source locator review: openrn_mh_round5: search URL (needs a specific supporting source); openrn_pharm_round5: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:flecainide,Flecainide,drug,343,Clinical reviewer triage: Numerical treatment wording: Dosing | Source locator review: openrn_pharm_round11: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:propofol,Propofol,drug,343,Clinical reviewer triage: High-alert medication | Source locator review: openrn_pharm_round17: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:tolvaptan,Tolvaptan,drug,345,Clinical reviewer triage: Numerical treatment wording: Dosing | Source locator review: openrn_pharm_round13: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:heparin,Heparin,drug,346,Clinical reviewer triage: High-alert medication | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:apixaban,Apixaban,drug,347,Clinical reviewer triage: High-alert medication | Source locator review: openrn_pharm_doac: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:hydroxyurea,Hydroxyurea,drug,350,Clinical reviewer triage: Numerical treatment wording: Dosing | Source locator review: openrn_pharm_round9: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:allopurinol,Allopurinol,drug,351,Clinical reviewer triage: Numerical treatment wording: Dosing | Source locator review: openrn_pharm_round8: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:tenecteplase,Tenecteplase (TNK),drug,351,Clinical reviewer triage: High-alert medication | Source locator review: openrn_pharm_round17: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:magnesium-sulfate,Magnesium sulfate,drug,354,Clinical reviewer triage: High-alert medication | Source locator review: openrn_pharmacology_book: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:dexmedetomidine,Dexmedetomidine,drug,355,Clinical reviewer triage: High-alert medication | Source locator review: openrn_pharmacology_book: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:oxycodone,Oxycodone,drug,358,Clinical reviewer triage: High-alert medication | Source locator review: openrn_pharm_resp: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:valproic-acid,Valproic acid / Valproate / Divalproex,drug,358,Clinical reviewer triage: High-alert medication; Numerical treatment wording: Dosing | Source locator review: openrn_mh_round5: search URL (needs a specific supporting source); openrn_pharm_round5: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:alprazolam,Alprazolam,drug,360,Clinical reviewer triage: High-alert medication | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:furosemide,Furosemide,drug,361,Clinical reviewer triage: Numerical treatment wording: Nursing considerations | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:tizanidine,Tizanidine,drug,365,Clinical reviewer triage: Numerical treatment wording: Dosing | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:tramadol,Tramadol,drug,366,Clinical reviewer triage: High-alert medication; Numerical treatment wording: Dosing | Source locator review: openrn_pharm_resp: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:hydrocodone-acetaminophen,Hydrocodone-Acetaminophen,drug,367,Clinical reviewer triage: High-alert medication | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:metoprolol,Metoprolol,drug,371,Clinical reviewer triage: Numerical treatment wording: Dosing | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
1,drug:calcium-chloride,Calcium chloride 10%,drug,373,Clinical reviewer triage: High-risk medication | Source locator review: openrn_pharm_round10: search URL (needs a specific supporting source) | 4 blocks without attached citation IDs | Not assigned to a selected topic collection,Not adjudicated
